generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
1800000,Araucaria_columnaris,Araucaria_cunninghamii,255.259,0.218002,0.00243361,0.227523,0
1800000,Agathis_montana,Agathis_australis,270.262,0.172302,-0.00123404,0.085943,0
1800000,Hesperocyparis_abramsiana,Podocarpus_nakaii,30.8624,0.0869328,-0.00250642,0.0483854,0
1900000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0560674,0.00022419,0.0498638,0
1900000,Hesperocyparis_abramsiana,Juniperus_angosturana,259.755,0.180138,-0.000190515,0.124324,0
1900000,Podocarpus_nakaii,Afrocarpus_dawei,244.086,0.090197,-0.00341469,0.00223272,0
1900000,Abies_holophylla,Pinus_glabra,108.328,0.207191,9.95071e-05,0.200477,0
2000000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0822322,0.000285929,0.0794256,0
2000000,Hesperocyparis_abramsiana,Juniperus_angosturana,268.098,0.229499,-0.00283498,0.17026,0
2000000,Abies_holophylla,Pinus_glabra,99.9194,0.220405,0.000528416,0.227088,0
2100000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.12101,0.00508876,0.194931,0
2100000,Hesperocyparis_abramsiana,Juniperus_angosturana,266.735,0.188222,0.00623092,0.162118,0
2100000,Sciadopitys_verticillata,NA,129.761,0.00256272,-0.00395845,0.0223211,0
2100000,Hesperocyparis_abramsiana,Podocarpus_nakaii,19.3685,0.10705,-0.000686379,0.0833984,0
2200000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.107073,-0.000640127,0.0840847,0
2200000,Hesperocyparis_abramsiana,Juniperus_angosturana,268.963,0.215744,0.00100637,0.173925,0
2200000,Abies_holophylla,Pinus_glabra,62.8293,0.143382,0.00354204,0.2035,0
2300000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.110007,-0.000877138,0.0785323,0
2300000,Hesperocyparis_abramsiana,Juniperus_angosturana,260.835,0.185499,0.00555129,0.157954,0
2300000,Abies_holophylla,Pinus_glabra,67.5011,0.165223,0.00203995,0.194528,0
2400000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0769911,-0.000198897,0.0671053,0
2400000,Hesperocyparis_abramsiana,Calocedrus_rupestris,248.962,0.226945,-0.00247894,0.173413,0
2400000,Podocarpus_nakaii,Dacrydium_guillauminii,214.139,0.109893,-0.00193486,0.0506415,0
2400000,Abies_holophylla,Pinus_glabra,46.4257,0.197545,0.00136345,0.231603,0
2500000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0751074,-0.000213057,0.0666675,0
2500000,Hesperocyparis_abramsiana,Juniperus_angosturana,263.928,0.257748,-0.00256068,0.190653,0
2500000,Abies_holophylla,Pinus_glabra,106.639,0.181241,0.00196743,0.19736,0
2600000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.164068,0.00125883,0.196737,0
2600000,Hesperocyparis_abramsiana,Juniperus_angosturana,265.055,0.191515,0.00617096,0.166405,0
2600000,Sciadopitys_verticillata,NA,263.025,1.92857e-05,0.000817865,0.0749113,0
2600000,Podocarpus_nakaii,Dacrydium_guillauminii,208.457,0.148571,-0.00397834,0.0561061,0
2600000,Podocarpus_nakaii,Saxegothaea_conspicua,133.388,0.0312865,-0.00172028,0.034603,0
2600000,Hesperocyparis_abramsiana,Podocarpus_nakaii,13.5331,0.128998,-0.00181934,0.0771916,0
2700000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0451023,-0.000365041,0.0262663,0
2700000,Hesperocyparis_abramsiana,Juniperus_angosturana,261.696,0.229755,-0.000993305,0.164129,0
2700000,Sciadopitys_verticillata,NA,262.122,0.00202181,0.00109135,0.0325696,0
2700000,Sciadopitys_verticillata,NA,279.773,0.0650482,-0.00306323,0.0732091,0
2700000,Podocarpus_nakaii,Dacrydium_guillauminii,207.678,0.0884627,0.000206916,0.0381665,0
2700000,Araucaria_columnaris,Araucaria_heterophylla,293.223,0.157116,0.0025496,0.00288486,0
2700000,Abies_holophylla,Pinus_glabra,0.13792,0.168647,0.0018204,0.204763,0
2800000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.18984,0.00136215,0.231398,0
2800000,Hesperocyparis_abramsiana,Juniperus_angosturana,256.208,0.240407,0.00129155,0.204008,0
2800000,Podocarpus_nakaii,Afrocarpus_dawei,225.694,0.069259,0.00604029,0.0321876,0
2800000,Hesperocyparis_abramsiana,Podocarpus_nakaii,30.6058,0.113639,-0.00213469,0.0703725,0
2900000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0698882,-0.00011262,0.0570778,0
2900000,Hesperocyparis_abramsiana,Juniperus_angosturana,261.068,0.148756,0.00222218,0.110586,0
2900000,Podocarpus_nakaii,Afrocarpus_dawei,229.636,0.0824482,0.00276769,0.0271873,0
2900000,Abies_holophylla,Pinus_glabra,72.0732,0.123473,0.00241913,0.150418,0
3000000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0451,-0.00104489,0.0224609,0
3000000,Hesperocyparis_abramsiana,Juniperus_angosturana,256.66,0.141279,0.00400508,0.054134,0
3000000,Podocarpus_nakaii,Afrocarpus_dawei,246.547,0.115352,-0.00399997,0.0238827,0
3000000,Araucaria_columnaris,Araucaria_cunninghamii,267.617,0.215388,0.00185134,0.176077,0
3000000,Agathis_montana,Wollemia_nobilis,249.444,0.100486,0.00219325,0.0883495,0
3000000,Abies_holophylla,Pinus_glabra,78.9922,0.148188,0.00334327,0.190856,0
3100000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.15112,0.00253189,0.209761,0
3100000,Hesperocyparis_abramsiana,Juniperus_angosturana,268.834,0.193382,0.00299136,0.150905,0
3100000,Podocarpus_nakaii,Afrocarpus_dawei,239.701,0.100416,-0.000525469,0.015451,0
3100000,Hesperocyparis_abramsiana,Podocarpus_nakaii,0.193277,0.103447,-0.0017337,0.0619621,0
3200000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.108941,0.00479126,0.169596,0
3200000,Hesperocyparis_abramsiana,Juniperus_angosturana,256.909,0.289168,-0.00464925,0.16029,0
3200000,Sequoia_sempervirens,Metasequoia_glyptostroboides,207.54,0.0142742,-0.00437229,0.00407873,0
3200000,Podocarpus_nakaii,Afrocarpus_dawei,244.12,0.121801,-0.00253694,0.0273822,0
3200000,Araucaria_bidwillii,NA,312.749,0.218963,0.00298235,0.0102927,0
3200000,Hesperocyparis_abramsiana,Podocarpus_nakaii,26.3989,0.106608,-0.00180669,0.0702595,0
3200000,Athrotaxis_selaginoides,Athrotaxis_cupressoides,298.347,0.128812,-0.00199509,0.0765314,0
3300000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0191745,0.00391605,0.0147049,0
3300000,Hesperocyparis_abramsiana,Juniperus_angosturana,264.728,0.195031,-0.0073288,0.0334547,0
3300000,Podocarpus_nakaii,Dacrydium_guillauminii,214.916,0.0806671,0.00223741,0.0343295,0
3300000,Araucaria_columnaris,Araucaria_cunninghamii,191.713,0.137172,0.00121136,0.1157,0
3300000,Abies_holophylla,Pinus_glabra,41.6463,0.142966,0.00455035,0.213088,0
3400000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0255977,0.00249914,0.0246886,0
3400000,Hesperocyparis_abramsiana,Juniperus_angosturana,266.937,0.161877,-0.000521965,0.0760111,0
3400000,Podocarpus_nakaii,Dacrydium_guillauminii,217.907,0.0673305,0.00151047,8.95348e-05,0
3400000,Prumnopitys_ferruginoides,NA,307.286,0.0868612,-0.00440329,0.0974391,0
3400000,Araucaria_columnaris,Araucaria_heterophylla,289.499,0.1717,0.00484169,0.013306,0
3400000,Abies_holophylla,Pinus_glabra,19.9117,0.131096,0.00366514,0.180927,0
3500000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0285548,-0.00132893,0.0176847,0
3500000,Hesperocyparis_abramsiana,Juniperus_angosturana,257.256,0.138482,0.00355722,0.100033,0
3500000,Hesperocyparis_abramsiana,Taxus_canadensis,91.4908,0.0663017,-0.000970363,0.0460359,0
3500000,Dacrycarpus_cumingii,NA,296.45,0.0517453,-0.00415354,0.300473,0
3500000,Podocarpus_nakaii,Dacrydium_guillauminii,207.417,0.0901932,0.00315333,0.0532893,0
3500000,Araucaria_columnaris,Araucaria_muelleri,302.147,0.150478,-0.00126802,0.0567738,0
3500000,Agathis_montana,Agathis_robusta,292.752,0.240101,0.000681254,0.0126126,0
3500000,Tsuga_forrestii,Pseudolarix_amabilis,227.875,0.154606,-0.00456024,0.127528,0
3500000,Abies_holophylla,Pinus_glabra,38.846,0.133623,0.00757764,0.215161,0
3600000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.121713,0.00563572,0.198972,0
3600000,Hesperocyparis_abramsiana,Juniperus_angosturana,262.99,0.179722,0.00433777,0.151956,0
3600000,Podocarpus_nakaii,Afrocarpus_dawei,230.725,0.0696314,0.00264744,0.00889746,0
3600000,Hesperocyparis_abramsiana,Podocarpus_nakaii,11.076,0.0997285,-0.00113707,0.071092,0
3600000,Cathaya_argyrophylla,NA,234.122,0.0276381,0.0034408,0.0786797,0
3700000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0445951,-0.000121034,0.0312024,0
3700000,Hesperocyparis_abramsiana,Calocedrus_rupestris,247.375,0.140361,0.00118764,0.0863168,0
3700000,Podocarpus_nakaii,Afrocarpus_dawei,231.892,0.0921445,0.002258,0.0118056,0
3700000,Araucaria_columnaris,Araucaria_cunninghamii,272.244,0.123034,0.00454815,0.0774199,0
3700000,Agathis_montana,Agathis_australis,277.983,0.135989,-0.00292288,0.0367859,0
3700000,Abies_holophylla,Pinus_glabra,68.177,0.139611,0.00405989,0.189903,0
3800000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.185476,0.000901406,0.214482,0
3800000,Hesperocyparis_abramsiana,Calocedrus_rupestris,252.897,0.314974,-0.00387322,0.231486,0
3800000,Taiwania_cryptomerioides,NA,191.669,0.0369381,0.000758898,0.0646134,0
3800000,Podocarpus_nakaii,Dacrydium_guillauminii,203.609,0.127102,-0.000151302,0.0720673,0
3800000,Hesperocyparis_abramsiana,Podocarpus_nakaii,28.4096,0.0946645,-0.00142056,0.0704695,0
3900000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.263673,-0.000186028,0.251359,0
3900000,Hesperocyparis_abramsiana,Juniperus_angosturana,267.546,0.23223,0.000735303,0.18971,0
3900000,Podocarpus_nakaii,Dacrydium_guillauminii,219.876,0.0686853,0.00136897,0.0309298,0
3900000,Hesperocyparis_abramsiana,Podocarpus_nakaii,13.8494,0.108388,-0.00145335,0.0754434,0
4000000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.184048,0.000697709,0.194694,0
4000000,Hesperocyparis_abramsiana,Juniperus_angosturana,258.427,0.236354,0.000446029,0.173965,0
4000000,Podocarpus_nakaii,Dacrydium_guillauminii,219.04,0.0793689,0.00162528,0.0516744,0
4000000,Araucaria_columnaris,Araucaria_muelleri,300.08,0.246349,0.00297747,0.238995,0
4000000,Agathis_montana,Agathis_robusta,291.649,0.133796,0.000867004,0.00452503,0
4000000,Hesperocyparis_abramsiana,Podocarpus_nakaii,0.203394,0.0663989,-0.00186985,0.0363218,0
4000000,Cathaya_argyrophylla,NA,283.154,0.113525,-0.00322819,0.125786,0
4100000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.173864,0.00189318,0.223407,0
