generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,8.00859,-2378.88,0.158716,1
100000,0,4.03566,-2152.58,0.759456,0.147259
200000,2,15.743,-2127.71,0.406278,0.262689
300000,2,13.4375,-2118.63,0.82549,0.18641
400000,1,8.2942,-2133.29,0.625251,0.215857
500000,0,3.03519,-2152.24,1.2271,0.150164
600000,1,10.2578,-2135.42,0.716693,0.226796
700000,2,14.4809,-2122.56,0.371389,0.21085
800000,5,32.6974,-2116.53,1.66251,0.25651
900000,4,27.2183,-2117.21,2.60577,0.26133
1000000,1,9.41031,-2134.55,0.819267,0.222861
1100000,1,10.1445,-2133.59,0.605293,0.27159
1200000,5,28.9584,-2103.75,4.24735,0.24038
1300000,3,22.4692,-2123.29,2.586,0.227465
1400000,3,17.1667,-2107.2,2.51599,0.2524
1500000,3,20.1654,-2118.25,1.54203,0.25857
1600000,4,27.0796,-2110.33,2.52692,0.195221
1700000,3,20.8259,-2113.19,1.50869,0.22521
1800000,6,32.3722,-2100.63,6.1368,0.21502
1900000,3,22.782,-2111.3,1.01377,0.249
2000000,2,12.4397,-2117.14,1.8147,0.24702
2100000,3,19.9487,-2113.46,1.60474,0.184231
2200000,2,13.843,-2116.54,1.10344,0.233536
2300000,2,12.9663,-2117.43,1.57078,0.20161
2400000,3,19.747,-2112.63,1.57275,0.203208
2500000,2,13.1775,-2123.46,1.44405,0.21326
2600000,5,29.5648,-2104.9,5.52292,0.221424
2700000,6,38.8236,-2111.48,6.04952,0.257257
2800000,3,18.8155,-2106.68,1.10122,0.2018
2900000,3,20.3098,-2115.41,4.7938,0.203632
3000000,5,31.9548,-2111.72,2.9334,0.28409
3100000,3,21.4517,-2107.1,1.24834,0.241637
3200000,6,36.4857,-2115.82,3.67723,0.21607
3300000,4,26.3584,-2119.57,2.04385,0.340063
3400000,5,35.3091,-2113.39,2.26482,0.34153
3500000,8,46.0298,-2090.76,4.65561,0.31309
3600000,4,26.6255,-2106.59,2.48175,0.249362
3700000,5,31.3709,-2113.66,5.87919,0.3152
3800000,4,24.2271,-2117.37,2.34523,0.223795
3900000,3,19.5089,-2108.13,1.12393,0.2172
4000000,6,35.5224,-2100.95,2.65093,0.24106
4100000,3,20.616,-2108.53,2.06285,0.24283
4200000,3,21.974,-2111.22,0.799598,0.20051
4300000,3,16.7136,-2116.7,1.92118,0.200313
4400000,4,27.4081,-2105.5,2.39522,0.267265
4500000,1,9.3768,-2136.06,0.337282,0.228385
4600000,4,24.4635,-2114.88,2.22196,0.260043
4700000,5,24.7741,-2102.33,4.47851,0.29065
4800000,9,57.2902,-2102.39,4.76603,0.34789
4900000,8,53.6788,-2093.17,1.8717,0.34123
5000000,8,51.7329,-2098.3,4.49382,0.3444
5100000,6,35.2729,-2100.91,4.57593,0.319
5200000,3,19.8478,-2112.41,1.83145,0.231811
5300000,2,11.7797,-2115.8,0.680542,0.242797
5400000,3,20.8248,-2111.25,1.90852,0.2178
5500000,4,26.9796,-2113.79,1.93174,0.223292
5600000,5,31.8923,-2099.96,2.75628,0.24015
