generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,7.60937,-2378.88,0.557932,1
100000,1,7.76323,-2139.7,3.57429,0.235118
200000,0,5.70969,-2158.02,0.177149,0.159354
300000,1,8.55083,-2137.43,2.09808,0.27527
400000,1,10.3495,-2136.96,0.759636,0.222414
500000,1,7.96105,-2138.63,2.98316,0.242304
600000,1,7.86886,-2139.42,1.72935,0.28387
700000,1,9.84665,-2135.54,1.03174,0.28297
800000,4,29.9974,-2108.58,0.698955,0.228417
900000,1,9.35689,-2132.7,0.631515,0.28798
1000000,2,13.4859,-2124.94,0.779424,0.20716
1100000,1,7.24317,-2137.15,1.78413,0.280054
1200000,2,12.2536,-2125.58,3.84398,0.19926
1300000,2,13.4634,-2125.56,0.863314,0.19453
1400000,5,29.6294,-2107.46,6.57751,0.22816
1500000,5,34.9955,-2108.7,2.71855,0.22444
1600000,6,38.6979,-2113.91,3.02805,0.285896
1700000,4,23.4957,-2106.33,3.228,0.233539
1800000,8,51.5283,-2095.54,4.44904,0.343053
1900000,5,34.0728,-2118.43,3.86928,0.297197
2000000,6,36.3807,-2095.16,3.64178,0.345405
2100000,10,62.545,-2094.06,3.9284,0.33763
2200000,5,29.6042,-2101.7,2.48514,0.269015
2300000,4,26.0125,-2107.08,1.83481,0.28741
2400000,4,26.9244,-2105.69,2.55517,0.276363
2500000,3,20.2443,-2110.37,1.00848,0.227384
2600000,3,19.2622,-2109.68,2.71011,0.270326
2700000,3,19.1818,-2112.96,1.72515,0.25154
2800000,4,27.6417,-2122.02,2.40756,0.26896
2900000,3,21.4283,-2110.24,0.763087,0.18187
3000000,3,20.8042,-2114.29,1.19836,0.22371
3100000,3,18.2643,-2132.59,1.96151,0.250629
3200000,3,20.9682,-2107.89,0.615902,0.23814
3300000,3,18.5125,-2112.51,1.11209,0.275353
3400000,5,29.7399,-2114.33,3.85105,0.27357
3500000,13,83.2255,-2086.56,7.92714,0.283763
3600000,6,40.3697,-2119.14,3.95072,0.29432
3700000,3,19.4072,-2113.11,1.07488,0.233244
3800000,2,12.9823,-2117.68,0.470486,0.21327
3900000,4,23.6476,-2105.3,2.55986,0.26501
4000000,3,17.1879,-2118.4,3.0374,0.28611
4100000,1,9.36307,-2134.05,0.565343,0.246167
4200000,5,32.3649,-2103.98,2.01281,0.27194
4300000,3,19.0405,-2110.63,1.7599,0.23708
4400000,5,30.8823,-2108,2.99469,0.293945
4500000,3,18.4433,-2116.24,2.46951,0.25954
4600000,4,26.7128,-2109.6,1.62742,0.25724
4700000,4,28.0276,-2107.04,2.01535,0.27599
4800000,4,24.798,-2103.18,2.58851,0.24099
4900000,1,10.3329,-2137.37,0.704242,0.28516
5000000,3,16.4738,-2114.31,2.09104,0.250777
5100000,3,20.4134,-2109.05,1.65869,0.262444
5200000,4,28.601,-2117.97,1.46241,0.28938
5300000,4,23.9489,-2111.53,1.29394,0.314
5400000,4,24.2494,-2108.95,2.49759,0.281485
5500000,4,22.7324,-2118.2,2.97134,0.22519
5600000,6,35.7433,-2091.54,4.00684,0.30431
5700000,7,46.3011,-2088.2,1.37424,0.31208
5800000,5,31.543,-2097.51,1.58799,0.253522
5900000,6,37.8366,-2092.67,3.47112,0.30222
6000000,5,31.0169,-2105.95,2.50047,0.23662
6100000,7,38.4054,-2100.38,3.35297,0.32418
6200000,2,11.4929,-2116.9,2.58305,0.20891
6300000,2,17.4521,-2131.75,0.773541,0.288051
6400000,1,8.9977,-2133.27,1.02193,0.28357
6500000,6,37.4201,-2094.41,1.59714,0.335365
6600000,4,24.9375,-2111.04,4.60179,0.204575
6700000,3,18.2955,-2108.32,1.30847,0.217857
6800000,6,40.55,-2095.25,2.86855,0.338337
6900000,3,19.5765,-2115.38,2.61877,0.245392
7000000,10,60.5234,-2095.5,5.3908,0.328795
7100000,3,15.8317,-2108.31,3.95914,0.238995
7200000,7,47.3235,-2102.67,3.6705,0.317385
7300000,3,19.1847,-2111.11,2.81017,0.247815
7400000,3,21.0251,-2112.68,1.23925,0.296165
7500000,8,48.8233,-2096.3,7.07058,0.311862
7600000,5,30.6413,-2106.22,2.60835,0.31556
7700000,4,27.6149,-2109.48,2.00654,0.2735
7800000,5,31.7593,-2107.41,1.42822,0.231576
7900000,5,27.176,-2103.25,4.5487,0.296763
8000000,3,18.1713,-2111.73,1.84369,0.244827
8100000,4,22.8236,-2108.02,3.23159,0.24043
8200000,4,31.8468,-2123.29,1.10066,0.217347
8300000,4,27.8711,-2110.93,3.02103,0.24811
8400000,3,19.9817,-2107.69,1.78923,0.21412
8500000,4,23.9754,-2107.6,0.858544,0.234942
8600000,4,22.532,-2113.35,4.60456,0.25759
8700000,4,27.123,-2106.49,2.00129,0.23364
8800000,5,33.3084,-2118.45,3.8949,0.215633
8900000,3,18.498,-2111.94,3.07524,0.268792
9000000,2,12.1647,-2115.71,1.52291,0.20863
9100000,4,24.4308,-2107.68,1.89681,0.261564
9200000,4,22.1977,-2114.88,3.17978,0.249364
9300000,3,19.4842,-2111.93,1.48879,0.247835
9400000,4,26.6204,-2110.3,2.22254,0.22357
9500000,3,19.0021,-2114.43,2.05425,0.236217
9600000,3,22.001,-2118.95,0.969261,0.201385
9700000,3,14.1773,-2108.54,3.17876,0.27672
9800000,5,34.1888,-2110.47,3.59588,0.256351
9900000,4,23.1118,-2114.74,4.0315,0.20859
10000000,3,19.6468,-2112.51,2.24888,0.222823
10100000,6,35.0093,-2097.61,3.0371,0.25951
10200000,2,12.804,-2118.87,1.74086,0.218858
10300000,5,28.1983,-2099.13,2.49874,0.251348
10400000,3,19.4201,-2112.59,2.62223,0.260842
10500000,3,22.2135,-2116.4,1.11265,0.21526
10600000,4,25.2322,-2111.47,2.61328,0.21977
10700000,3,15.2896,-2109.06,4.29981,0.24252
10800000,2,13.4732,-2118.48,1.7361,0.230685
10900000,3,18.9673,-2107.73,2.07774,0.217975
11000000,3,18.4008,-2109.78,2.35495,0.24638
11100000,4,31.3448,-2116.1,0.969802,0.261232
11200000,4,22.6379,-2100.49,2.346,0.28306
11300000,3,15.6844,-2110.84,4.79377,0.23052
11400000,2,13.8645,-2122.26,0.660318,0.23096
11500000,4,29.4893,-2118.49,1.40857,0.239618
11600000,5,30.3023,-2108.76,6.21769,0.230279
11700000,3,14.29,-2109.51,5.27581,0.24508
11800000,4,25.7015,-2106.27,2.53346,0.275877
11900000,3,20.1288,-2108.02,1.42978,0.224809
12000000,5,32.5053,-2106.55,4.02594,0.31388
12100000,3,18.9107,-2112.8,2.15805,0.221204
12200000,5,36.0752,-2119.96,3.52954,0.25645
12300000,7,45.4489,-2097.26,4.90157,0.30743
12400000,5,33.1356,-2110.33,2.27349,0.25069
12500000,6,36.6554,-2087.11,3.90033,0.331965
12600000,2,11.6668,-2118.51,0.986592,0.16973
12700000,6,38.8051,-2092.26,3.05611,0.31941
12800000,7,45.8555,-2098.92,2.60229,0.33172
12900000,3,21.2462,-2116.79,1.601,0.229012
13000000,4,29.2811,-2113.93,1.80939,0.26759
13100000,3,20.1942,-2115.02,0.946276,0.215105
13200000,4,24.9585,-2108.9,3.47161,0.328568
13300000,4,20.1609,-2110.75,3.67935,0.30573
13400000,2,14.1205,-2124.46,1.78403,0.247947
13500000,5,31.2274,-2100.89,4.51176,0.299505
13600000,4,28.1842,-2125.67,1.74352,0.190112
13700000,9,60.9252,-2101.68,3.20372,0.3119
13800000,2,14.2785,-2117.41,0.513041,0.22915
13900000,3,18.977,-2109.34,0.885456,0.27072
14000000,5,31.5688,-2110.15,5.15906,0.237463
14100000,4,26.3522,-2119.36,2.86812,0.2428
14200000,2,11.2606,-2115.45,2.66748,0.230061
14300000,2,14.0326,-2119.89,1.12606,0.15356
14400000,3,16.3346,-2111.01,1.47605,0.244837
14500000,5,34.8397,-2118.9,2.5743,0.20705
14600000,2,11.3235,-2117.74,2.5221,0.25192
14700000,2,12.6448,-2123.72,2.77955,0.16234
14800000,4,22.7837,-2112.3,4.66934,0.26134
14900000,3,18.6658,-2118.97,3.54221,0.185995
15000000,5,30.7759,-2119.46,3.61163,0.21723
15100000,4,26.7634,-2105.27,2.77689,0.225616
15200000,1,9.98973,-2137.05,0.633607,0.266853
15300000,1,9.80221,-2140.28,1.47017,0.28816
15400000,3,18.3342,-2112.22,3.55131,0.244897
15500000,4,27.7976,-2108.98,2.62309,0.22844
15600000,3,22.2399,-2108.55,0.788527,0.24117
15700000,3,19.5655,-2111.19,1.75586,0.21219
15800000,3,22.0857,-2109.78,1.50639,0.267233
15900000,4,24.9484,-2114.31,2.17964,0.2651
16000000,4,25.4126,-2104.19,2.97317,0.235035
16100000,3,20.2883,-2109.48,1.11502,0.21934
16200000,4,24.3165,-2116.23,3.25852,0.21276
16300000,4,23.772,-2111.27,2.76561,0.24842
16400000,6,36.968,-2109.4,1.12943,0.263455
16500000,3,20.4766,-2112.57,1.4027,0.266707
16600000,3,22.6334,-2116.89,1.10005,0.24457
16700000,5,26.7866,-2100.07,5.13139,0.277175
16800000,4,25.6426,-2108.32,2.92008,0.258755
16900000,8,47.2547,-2096.37,5.02392,0.345735
17000000,3,17.4647,-2108.16,2.11942,0.24764
17100000,4,28.3836,-2118.8,2.02538,0.243571
17200000,3,19.9185,-2117.62,3.1236,0.2342
17300000,3,22.4127,-2112.48,0.74149,0.22662
17400000,5,28.7324,-2113.97,3.73102,0.306628
17500000,4,24.9179,-2105.16,3.35426,0.239171
17600000,3,18.3758,-2113.95,2.57955,0.27952
17700000,3,21.1328,-2121.38,1.3098,0.19995
17800000,4,26.8021,-2113.22,3.71727,0.23796
17900000,4,28.4241,-2110.73,1.43291,0.21782
18000000,5,27.81,-2104.83,1.97634,0.300481
18100000,4,26.5322,-2109.97,1.37439,0.229395
18200000,7,44.3736,-2099.97,4.67159,0.33415
18300000,3,20.8791,-2114.77,1.37035,0.235406
18400000,3,14.6499,-2109.53,1.47666,0.213133
18500000,3,21.3962,-2109.75,0.615835,0.222866
18600000,3,20.0792,-2119.13,2.3342,0.236485
18700000,4,26.4878,-2106.66,2.89521,0.22566
18800000,4,18.5841,-2106.64,6.89741,0.281873
18900000,5,33.2621,-2105.72,1.42334,0.30449
19000000,3,20.3766,-2114.08,0.72794,0.23354
19100000,4,25.7817,-2116.54,1.16147,0.197568
19200000,8,47.1831,-2092.19,4.12998,0.323353
19300000,4,27.8071,-2110.32,2.83081,0.234245
19400000,3,17.5138,-2107.35,3.83351,0.287824
19500000,3,20.8895,-2109,2.32997,0.24807
19600000,5,30.7194,-2109.91,1.82002,0.25979
19700000,3,17.4104,-2108.6,3.51884,0.245043
19800000,4,22.6191,-2107.54,2.26384,0.266155
19900000,3,19.6266,-2110.5,1.10202,0.24687
20000000,3,16.3448,-2108.07,2.47549,0.24297
20100000,4,27.6539,-2115.26,1.45455,0.31687
20200000,3,19.2894,-2107.74,2.14898,0.25728
