generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Hesperocyparis_abramsiana,Abies_holophylla,0,0.032,0,0.005,0
100000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.17986,-0.000293042,0.161741,0
200000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.171424,-0.000472693,0.145233,0
300000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.187705,-0.000141262,0.176445,0
400000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0665417,5.52124e-05,0.0562817,0
400000,Hesperocyparis_abramsiana,Juniperus_angosturana,263.924,0.266127,-0.000736571,0.181684,0
400000,Podocarpus_nakaii,Afrocarpus_dawei,234.478,0.0814169,-0.00032842,0.00599365,0
400000,Abies_holophylla,Pinus_glabra,74.0869,0.239973,-0.000248769,0.21966,0
500000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.17706,-0.000244648,0.160954,0
600000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0834684,0.000315198,0.0810628,0
600000,Hesperocyparis_abramsiana,Juniperus_angosturana,267.549,0.210709,0.00156383,0.12893,0
600000,Abies_holophylla,Pinus_glabra,36.0001,0.217627,0.00052402,0.234286,0
700000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0853359,8.16572e-05,0.0819598,0
700000,Hesperocyparis_abramsiana,Juniperus_angosturana,268.591,0.260914,-0.000872391,0.202142,0
700000,Abies_holophylla,Pinus_glabra,21.1679,0.219113,0.000818856,0.236369,0
800000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0639547,0.000418802,0.0614773,0
800000,Hesperocyparis_abramsiana,Juniperus_angosturana,255.589,0.173544,-0.00145738,0.102046,0
800000,Libocedrus_yateensis,Libocedrus_plumosa,305.014,0.101829,-0.00577532,0.181652,0
800000,Abies_holophylla,Pinus_glabra,112.599,0.137278,0.00356879,0.168269,0
900000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.127901,-0.000887085,0.0947204,0
900000,Abies_holophylla,Pinus_glabra,24.771,0.172932,0.001634,0.212598,0
1000000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.145174,-0.000857555,0.110376,0
1000000,Abies_holophylla,Pinus_glabra,119.145,0.173328,0.00131758,0.183465,0
1100000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.131266,-0.000564268,0.105421,0
1100000,Abies_holophylla,Pinus_glabra,122.828,0.223631,0.000106053,0.215022,0
1200000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.146976,-0.000685938,0.118394,0
1200000,Abies_holophylla,Pinus_glabra,67.6023,0.264822,0.000119351,0.2641,0
1300000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0975045,-0.000502646,0.0782346,0
1300000,Hesperocyparis_abramsiana,Juniperus_angosturana,267.344,0.208148,0.00260834,0.167001,0
1300000,Abies_holophylla,Pinus_glabra,116.242,0.159316,0.00174127,0.174264,0
1400000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.00786918,0.0061407,0.00199484,0
1400000,Hesperocyparis_abramsiana,Juniperus_angosturana,264.779,0.199711,0.00383239,0.17681,0
1400000,Hesperocyparis_abramsiana,Taxus_canadensis,84.455,0.105045,-0.00211109,0.0751558,0
1400000,Podocarpus_nakaii,Dacrydium_guillauminii,204.982,0.0861419,0.00086241,0.0492332,0
1400000,Araucaria_columnaris,Araucaria_muelleri,298.671,0.15302,-0.000679132,0.00137028,0
1400000,Agathis_montana,Agathis_robusta,292.523,0.0884542,-0.0011189,0.073275,0
1400000,Pseudolarix_amabilis,NA,292.369,0.0151203,-0.00102056,0.265518,0
1400000,Abies_holophylla,Pinus_glabra,123.296,0.156638,0.000830478,0.149875,0
1500000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0805999,-0.00120936,0.0532124,0
1500000,Hesperocyparis_abramsiana,Juniperus_angosturana,265.165,0.208186,-0.00244876,0.0739222,0
1500000,Podocarpus_nakaii,Dacrydium_guillauminii,218.885,0.0864562,0.0018878,0.046848,0
1500000,Abies_holophylla,Pinus_glabra,44.3611,0.25238,-0.000165484,0.233501,0
1600000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0734162,0.000171301,0.0684509,0
1600000,Hesperocyparis_abramsiana,Juniperus_angosturana,268.264,0.167463,0.0062455,0.134535,0
