generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Hesperocyparis_abramsiana,Abies_holophylla,0,0.032,0,0.005,0
100000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.115749,0.00473597,0.18098,0
100000,Hesperocyparis_abramsiana,Podocarpus_nakaii,8.04789,0.0693395,0.00145765,0.0772477,0
200000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.11447,0.00100828,0.125205,0
300000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.112635,0.00499263,0.182009,0
300000,Hesperocyparis_abramsiana,Podocarpus_nakaii,21.1221,0.118517,-0.000913011,0.0883428,0
400000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0782985,0.0009836,0.0839666,0
400000,Abies_holophylla,Pinus_glabra,2.86287,0.168533,0.00136439,0.205935,0
500000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0739116,0.000501766,0.0684976,0
500000,Abies_holophylla,Pinus_glabra,61.1245,0.193932,0.00112554,0.219691,0
600000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.111987,0.000215081,0.114038,0
600000,Abies_holophylla,Pinus_glabra,120.716,0.205699,0.00168419,0.241372,0
700000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.116881,-0.000400088,0.09565,0
700000,Abies_holophylla,Pinus_glabra,21.7565,0.136073,0.00275701,0.192461,0
800000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0680723,0.000572449,0.0712281,0
800000,Hesperocyparis_abramsiana,Juniperus_angosturana,262.928,0.156801,0.00425843,0.130619,0
800000,Podocarpus_nakaii,Dacrydium_guillauminii,219.352,0.0901619,-0.000401373,0.0418053,0
800000,Podocarpus_nakaii,Prumnopitys_exigua,123.615,0.0364291,-0.00153958,0.0319898,0
800000,Abies_holophylla,Pinus_glabra,28.1916,0.170473,0.00208039,0.218931,0
900000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.127724,-0.00061353,0.100549,0
900000,Abies_holophylla,Pinus_glabra,39.5084,0.19442,0.00101428,0.220092,0
1000000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0914159,-7.23917e-05,0.0794851,0
1000000,Hesperocyparis_abramsiana,Juniperus_angosturana,255.235,0.232312,0.00159929,0.213297,0
1000000,Abies_holophylla,Pinus_glabra,23.532,0.190739,0.000864766,0.217714,0
1100000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.166842,-0.00113195,0.11792,0
1100000,Abies_holophylla,Pinus_glabra,90.9693,0.172023,0.00332187,0.2363,0
1200000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.066454,0.000411711,0.0670563,0
1200000,Hesperocyparis_abramsiana,Juniperus_angosturana,258.976,0.180493,-0.00151668,0.137441,0
1200000,Abies_holophylla,Pinus_glabra,103.249,0.135305,0.00514465,0.186789,0
1300000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.08454,0.000246385,0.0759325,0
1300000,Hesperocyparis_abramsiana,Juniperus_angosturana,257.595,0.207568,0.000831034,0.159344,0
1300000,Abies_holophylla,Pinus_glabra,108.407,0.168206,0.00495293,0.250214,0
1400000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0777528,0.000375141,0.0762224,0
1400000,Hesperocyparis_abramsiana,Juniperus_angosturana,262.304,0.185225,0.00405948,0.152049,0
1400000,Halocarpus_bidwillii,Halocarpus_kirkii,260.825,0.0694603,-0.00368281,0.101137,0
